name,suburb,category,description,address
Kidsafe ACT,Pearce,Retail,"Kidsafe ACT is a charity that provide's frontline services to the community. These services include:

- Car seat checks, installation, sales, hires and advice
- Home and pedestrian safety and advice
- Research, produce and distribute safety materials
- Advocating to government and industry","Building 2, Pearce Centre, Collett Place"
GymQuip Fitness and Spas,Fyshwick,Retail,GymQuip Fitness and Spas offers domestic and commercial fitness equipment as well as Hot Spring Spa pools. Full range available to view at www.gymquipfitness.com,16 Goolwa Place Fyshwick
Brodburger,Kingston,Food and drinks,Using local beef to make Canberra’s favourite burger.,11 Wentworth Avenue Kingston
The Book Cow,Kingston,Retail,"We are Canberra's newest independent, local bookshop open in the heart of Kingston opposite Green Square.

We are family run and sell ""pages for all ages"" - new books for kids, adults and teenagers from the latest releases, to poetry, local authors, the classics and everything in between.",47 Jardine Street
Caffe Cherry Beans Erindale,Wanniassa,Food and drinks,"Provide every customer with fresh, flavorsome coffee and coffee blends

Offer exceptional service to create a warm, welcoming café experience

Spread our love of quality coffee across the nation",Shop 21A Erindale Shopping Center
Arthritis ACT,Bruce,Personal care,"Build a Better Me: Arthritis, Pain Support & ME/CFS ACT provide structured health and fitness programs for anyone in the community. You can join any of our established fitness programs including Yoga, Tai Chi, Nordic Walking, you can join us for Art Therapy, or we can build a program for you.",170 HAYDON DVE BRUCE
coolbuy,Campbell,Food and drinks,Coolbuy is your everyday asian supermarket. We deliver safely to your door so you spend less time shopping ~,"Unit G28, 6 Provan St"
Super Boober,Theodore,Food and drinks,"Super Boober is every mothers’ superhero, here to help them survive the demands of motherhood with nutritious and delicious lactation and pregnancy products. Naturally supporting mothers throughout their birth and breastfeeding journey to boost breast milk supply and support birth.",2 Dyett Circuit
Slow Beauty Eco Salon,O'Connor,Retail,"An organic, eco beauty salon located in the inner northern suburb of O’Connor, Canberra servicing an exclusively female clientele. Treatments are by appointment. Male clients are welcome on referral from current clients.

Slow Beauty is passionate about providing relaxation, health, wellness and ethical non-toxic beauty treatments of the highest standard, using organic products (where available) chosen to give premium results to all skin types.

We offer online booking for your convenience. Please include your ChooseCBR Voucher code in the Notes field when booking.",4 Hart Street
Centrepiece creol,Dickson,Retail,"Located in Dickson Shopping Centre our stock a unique collection of gifts,accessories and homewares from around the world. We carry a wide range of jewellery from fashion to semi precious gemstones. We are also stock beautiful handbags and scarves. We are the one stop shop for all gifts.",Shop 5 Dickson Chambers
Asian Arts MAnuka,Griffith,Retail,"Oriental furniture, Japanese dinner ware, porcelain miniatures, home wares and gift items","Shop 5-6 Manuka Village, 18-26 Furneaux Street"
The Battery Factory,Fyshwick,Retail,"We are a Battery Retail store, operating in Canberra from last 40 years. We sale almost all type of batteries including Automotive, Marine, Deepcycle etc.",141 Newcastle Street
Fresh Seafood Canberra,Casey,Retail,Fresh Seafood,"19/15 Kingsland Parade, Casey, ACT"
Olive at Hawker,Hawker,Food and drinks,"This boutique restaurant specialises in Mediterranean cuisine, with strong Greek and Italian influences. It's a warm space, luminous with gentle light, and a real rustic Mediterranean flair, ideal for intimate dining with friends and family alike.

Vouchers may only be used IN STORE not online as vouchers need to be validated manually. We do apologise for the inconvenience.",Shop 7 78 Hawker Place
Aeon Academy,Yarralumla,Things to do,"Come & experience our unique Visual Arts & Immersive Adventures programs. Aeon Academy’s Creative & Active programs for Children & Teens, aged 7 – 16, are renowned for providing Inspiring & Engaging vacation experiences your child will never forget!",24 Loftus St
The Old Canberra Inn,Lyneham,Food and drinks,"A living piece of Australian history built in 1857 now a family friendly pub with great live music, fresh food sourced locally and rotating craft beer.",195 Mouat Street
Axxe,Fyshwick,Things to do,"Axxe Canberra has signed up to be part of the ChooseCBR initiative. This means you can get a discount off our services if you have registered at choosecbr.act.gov.au

The steps for using the ChooseCBR voucher code with Axxe is as follows:
1. Book a session or buy a gift voucher through our website.
2. Pay the full value of the booking deposit/gift voucher.
3. Contact us on Facebook or email us at info@axxe.com.au and provide us with your Choose CBR voucher code.
4. Axxe will refund you the value of the Choose CBR voucher.

On the day of your booking, we can process the rest of the payments using the Choose CBR vouchers discount if any of the other players have them.
We can also sell vouchers in-store with the Choose CBR discount applied at the time of sale.

About Axxe:
Canberra's first and only Urban Axe Throwing facility.

Urban Axe Throwing is a fun activity where you will get the unique experience of throwing solid steel axes at wooden targets.

Bookings are essential. Visit axxe.com.au for more information.",4/1 Lyell Street
Siren Bar & Restaurant,Gungahlin,Food and drinks,"Gungahlin’s First Bar & Restaurant, serving great quality gastro food and local and interstate beverages. From Breakfast through to dinner.
With plenty of space to spread out from our sunny out door deck or cosy cafe to our sports bar.
Open 7 Days close to light rail and free parking.",30 Anthony Rolfe Ave
Wenyang Family Trust,Turner,Personal care,Massage & Day Spa,"29/2 David Street, (Shop R2)"
CGs Discount Tobacconist and Gifts,Dickson,Retail,"Retail in gifts ,smoking accessories, hunting and camping knives,Incense","Shop G5 Dickson Chambers, Dickson Place"
Braddon Supermarket,Braddon,Retail,"We are a bottle shop and convenience store.
We Locate in between City centre and Dickson.
We sell Liquor, Grocery,and Tobacco.
We have variety of Wines, beers, RTDs and Sprits. Also We have all groceries including Dairy products, Confectionarys, Soft drinks, Ice creams etc.",94 Lowanna St.
Mulligans Flat,Forde,Things to do,A night tour at Mulligans Flat Woodland Sanctuary is a unique experience to step back in time and experience the Australian bush as it was 100 years ago. At night things really come to life in the Sanctuary. Nocturnal animals awaken hungry and looking for food.,7/26 Francis Forde Blvd
Zambrero Manuka,Manuka,Food and drinks,"Zambrero is a win for your mind, body, soul and taste buds. We're all about fresh, Mexican inspired food that also helps to stop world hunger.
Every burrito and bowl purchased means a meal donated to someone in need through our Plate 4 Plate initiative.
That's why we call it Feel Good Mex","Shop 10, 18 Flinders way"
Coffee Guru Franklin,Franklin,Food and drinks,"At Coffee Guru we are focused on bringing all our customers the freshest products, both across our extensive menu options, but most importantly our coffee. Our expert Coffee Team is led by one of Australia’s premier, most highly qualified roasters.","126/3 Clareburton Crescent,"
Gourmet House Woden,Woden,Food and drinks,"We're passionate about bringing great food to the people of Woden and surrounds. With burgers, hot dogs, sides and crepes, we can cater to your tastes whether you want breakfast, lunch, dinner or dessert.","Shop 049c, Westfield Woden, Bradley St"
CHONG CO TUGGERANONG PTY LTD,Greenway,Food and drinks,Chong Co Thai Restaurant and Bar Tuggeranong Greenway has been providing exceptional customer service with great taste and value authentic Thai cuisine.,311 Anketell St
PASSIONAILS,Greenway,Personal care,Nail Salon,"Shop 188, Anketell St. &, Reed St N,"
BDL Car Stereo Pty Ltd,Fyshwick,Retail,"Retail & installation of after market car audio, AV, alarms, light bars, dash cams, screens, GPS tracking, reverse cameras, dual car battery set up, wiring, car antennas.","Unit 12 Paragon Mall, Glasdstone St"
Axis Hairdressing,Braddon,Personal care,Axis Hairdressing is one of Canberra's most well known salons. Established in 1991 Axis has been tending to the hair needs of Canberrans for almost 3 decades.,131/24 Lonsdale Street
Rice Tapas Bar and restaurant,City,Food and drinks,We serve Thai food,24 Garema place
EQ Cafe and Lounge,Deakin,Food and drinks,EQ Cafe and Lounge,70 Kent Street
Katsu Nicholls Takeaway,Nicholls,Food and drinks,"Fast food shop with a Japanese twist. Serving Fish, chips, burgers as well as Japanese rice bowls and Bentos.",28/64 Kelleway Avenue
BrewYourOwnAtHome,Kambah,Retail,"Canberra's finest supplier of home brewing ingredients and equipment from the novice to the experienced brewer. If you are interested in making your own beer, ginger beer, mead or want to grab a Brewery fresh wort kit to ferment, come and grab a starter kit and ingredients to get you on your way.
",Shop 5 of 66 Primmer Court
Aussie Windscreens,Phillip,Retail,Aussie windscreens is Canberra's Number one choice for all automotive glazing solutions. Specializing in Stone chip repairs and ADAS Re-calibraions,22 Grenville Court
Bearded Bean,Canberra,Food and drinks,Funky cafe in the city specialising in quality coffee and great food. Coffee is our passion and we strive to make every cup to perfection and tasting the way full flavoured barista made coffee should. Come and meet our really friendly team!,"Shop 3 21 Genge Street,"
Ziggys Fresh,Fyshwick,Retail,Fruit & Vegetable Market,G3 Fyshwick Markets Dalby St
1980 Chinese restaurant,Acton,Food and drinks,Traditional and Modern Chinese cuisine! Fresh Seafood ! Functional private room. Highly recommend for parties!,2/25 Childers st
606 Asian Supermarket,Phillip,Retail,"Located in Woden, ACT.
.
606 offering a quality selection of food,
and lifestyle products from Asia.
.
G116, 20 Bradley St, ACT 2606","Shop G116, 20 Bradley St"
Latin Dance Canberra,Canberra,Retail,"Learn to Latin dance - Salsa, Bachata, Cha Cha, Zouk, Samba at the biggest Latin dance school in Canberra right in the centre of Canberra.","11/Level 2 (above King O'Malley's), 131 City Walk, ACT 2601"
Harmonie German Club,Canberra,Food and drinks,"THE HARMONIE GERMAN CLUB OF CANBERRA
Canberra’s hidden gem of German Food, Wine & Beer, German Markets, Blues Music Functions and much more.
Our aim is to unite, encourage and foster the German language, culture, habits and social life in Australia.
Great German and Australian Beers and Wines",47 Jerrabomberra Ave Narrabundah
Kidzplore Indoor Play Centre,Fyshwick,Things to do,"Canberra's newest and most popular kids play centre located in Fyshwick. Kidzplore is a great place for children to play and enjou themselves on age-appropriate equipment. Kidzplore offers casual visits as well as birthday party packages, venue hire and school excursion. Good for busy parents.","Unit 7, BLd 3, 1 Dairy Road"
Lis Dumpling Inn,Wanniassa,Food and drinks,Chinese cuisine specialize in dumplings and noodles.,1/33 Gartside Street
The coffee club gungahlin,Gungahlin,Food and drinks,Cafe,"Shop21, 33 Hibberson street"
Smogue,Torrens,Food and drinks,Smogue is a cafe in Torrens place since last 5 years.,2 Torrens place
Handy Seven,Conder,Retail,"We sell fresh flowers, giftware, party products, helium balloons, art accessories etc. Delivery available 7 days a week across Canberra region.",4 Sidney Nolan st
Canberra Repertory Society,Canberra,Things to do,"Canberra Rep - entertaining, training and sustaining theatre in Canberra since 1932.
2021 season of classic plays on sale now.
",3 Repertory Lane
Jade Spa Massage,Belconnen,Retail,"Jade Spa Massage has a group of dedicated professional massage therapist, with both western and oriental skill, to provide you the best possible treatment",Unit 4/57 Benjamin Way
Kippax Asian Grocer,Holt,Food and drinks,"Looking for that special Asian ingredient, Kippax Asian Grocer provides a variety of authentic Asian products. Specially in Chinese, Philippines, Indonesia and Thailand etc.","Shop 20, 24-48, Hardwick Cres"
DR PRINT & SIGN,Mitchell,Things to do,"DR Print & Sign Pty Ltd is a local printing and signage company. It is reorganised and expanded from original business DR Print which was established 1996. From visual design to offset, digital, big format printing and sign making. It provides Canberran with cheap & high-quality printing services.","Unit 1, 173 Flemington Road"
Elite Supps,City,Food and drinks,"Elite Supps has been providing Australians with an extensive range of supplements and the best customer service since 2008. We are next level in terms of what we provide our customers. We are invested in your health, fitness and well being. Elite Supps is the holy grail of sports supplements.

",Shop EG18A Canberra Centre 148 Bunda Street
Redpath Shoes,Canberra,Retail,footwear for Women Men and kids,6 Garema Place
The Food Forum,Belconnen,Retail,"We are a locally owned, family run business. With over 60 years experience in the food industry, from farming to retail, we know a bit about good produce. We pride ourselves on sourcing only the best quality seasonal produce from the finest growers and producers our nation has to offer.","Westfield Shopping Centre, Unit MM07, Benjamin Way"
San Churro Woden,Woden,Food and drinks,"Like the chocolaterias of Spain, San Churro is the place where friends can come together to share, celebrate and indulge! Good food, good coffee and great service.",8 Bradley Street
Rashays Tuggeranong,Greenway,Food and drinks,"Rashays is a modern Aussie Restaurant. It amazing value, excellent service, and premium locally-sourced produce.","hop 21, Tuggeranong Hyperdome CNR Anketell Street & Reed Street South.Point"
Sharetea ANU,Acton,Food and drinks,Sale drinks.,"shop 155,B4/30 Joplin Ln"
Canberra Sewing,Phillip,Retail,"Canberra Sewing sells and services sewing machines and overlockers. We also sell sewing supplies, quilting fabrics, haberdashery and many threads. We offer different classes on how to sew, please check our website for current classes. Established in 1968 and in the same ownership since 1993.",26 Colbee Court
Gami Chicken And Beer Canberra,City,Food and drinks,"“Korean-style fried chicken and craft beer served in a casual atmosphere, best enjoyed with friends and family.”",FG07A 125 Bunda Street
sparkling nails beauty,Holt,Personal care,"We are Sparkling Nails and Beauty in Kippax Fair shopping Centre. We offer the Manicure/Pedicure, Dipping powder (SNS), Gel powder, Acrylic Liquid & Powder, Maintenance, Eyebrow & Eyelash and all wax services.","shop 9A 48 hardwick Crs, holt ACT2615"
Fernwood Fitness Tuggeranong,Tuggeranong,Personal care,"female only gym, offers personal training, small group training, creche, group fitness, mum and bub classes, exercise physiologist, spin cycle, nutrition coaching and lots more NDIS approved",184 Soward way
AB&T Systems,Phillip,Retail,"AB&T is a premium computer store, devoted to customers and technology. We only build PC's we expect will bring you pleasure and not pain. We back it up with great service and warranty. We also are happy to service any PC device.","Level 1, 48 Colbee Court"
Raijin Japanese Cuisine,Mckellar,Food and drinks,"Raijin Japanese Cuisine
Great way to start your foodie adventure in Canberra. We offer an accessible and tasty selection of on-the-go dishes that are reasonable price, high-quality and delicious.
Come and try out our amazing Japanese street foods and traditional Japanese dishes.",Unit 3/4 - 6 Bennetts Cl
La Beaute Hair Salon,Phillip,Personal care,"Our Team of stylists are dedicated to offering quality of service and maintaining the integrity of your hair. We take pride in listening to you and designing your hair and look accordingly. We offer precise, customized cutting, finishing and color applications designed to complement you.",Shop45 Westfield Woden
Gongcha Braddon,Braddon,Food and drinks,"""Gong cha” is the act of offering tea to the Emperor in ancient China.

Tea is offered as tribute to the Emperor. Tribute tea or Gong cha consumed by Chinese emperors is therefore of the best quality collected throughout the kingdom.

your satisfaction is our goal, by offering refre",45 Ainsle Avenue
hing shing butchery/兴盛肉店,Dickson,Retail,"32年Dickson 品牌老店
Dickson 肉店首选
新鲜好肉等您来购！",G2，41-56 woolly st
Brightco Pty Ltd,Canberra,Food and drinks,Subway,Subway F307/337 Canberra AVE
Civic Asian Noodle House,Canberra,Food and drinks,"Unpretentious, warm dining room for stir-fries noodles, laksas and delicious meals from Thailand, Laos and China.",49 Northbourne Avenue
Gina Kingston,Amaroo,Personal care,"Gina Kingston is a personal stylist who specialises in people with health issues or disabilities. Gina offers colour consultations, wardrobe maintenance, personal shopping for ready to wear and adaptive clothing, and 1/2 tip sessions - in person or online. Because we still want to look stylish.",1 Comet St
BLACKFIRE RESTAURANT,Braddon,Food and drinks,"Black Fire, ""Fuego Nero"" is a fiercely individualistic Mediterranean cuisine restaurant.

We prepare delicious imaginative dishes with an exciting wondrous presentation to bring to your table our food, our taste, our culture, our love for cooking.
",U 45 38 Mort St
Jasmine House Family Restaurant,Gungahlin,Food and drinks,"Jasmine House does the Chinese-Western mixed food, suited for the local taste, and have really traditional dishes as well!
We welcome anyone to come and try it!",Ernest Cavanagh St & Gribble Street
New York Nails Spa and Beauty,Woden,Personal care,"We provide beauty treatment: Nails, Lashes extension, Waxing, Nails, pedicure and manicure, body massage, facial.","Shop a27 Wesfield Woden, Bradley Street"
Regal Restaurant Belconnen,Belconnen,Food and drinks,"Regal Restaurant has over 30 years history, it has diverse traditional Chinese cuisine. Our mission is very simple, we provide great food and nice services.",U 2 10 Purdue Street
Cinnarbar,Kingston,Food and drinks,Cinnabar is famous for Chinese cuisine.,U156/45 Eastlake Parade
Coffee Guru Amaroo,Amaroo,Food and drinks,"The popular café in Amaroo offers taste food, nice coffee and drinks, and comfortable area with families and friends.","Shop 5, 11 Pioneer St"
Boost Juice Marketplace Gungahlin,Gungahlin,Food and drinks,"We’re not just here to give customers great tasting smoothies and juices. We want to share our energy, passion and ‘love life’ philosophy, and make sure every customer leaves feeling just that little bit better.","H61 The Marketplace Gungahlin, 30-33 Hibberson street"
Mint rd cafe,Narrabundah,Food and drinks,"Local cafe serving quality coffee, snacks and light meals","Shop 4, 59 Boolimba Crescent"
Noodle Choice,Dickson,Food and drinks,food takeaway,2/78 woolley street
Hokka Hokka,Canberra,Food and drinks,Asian Cuisine Takeaway Food,2/148 Bunda Street
Oxygen Essentials For Life,Majura,Retail,"Oxygen Nutrition specialise in bringing you the worlds best supplements, health foods and fitness technology at the lowest possible prices.

Oxygen Nutrition provides a welcoming atmosphere where our specialised staff will have you on the correct path to a fitter and healthier life.","Majura Park Shopping Centre, Shop 1, 18-26 Spitfire Avenue"
Gus' Place,Canberra,Food and drinks,"Gus' Place is an Canberra Institution. One of Canberra's oldest cafe's and the first venue to allow outdoor seating. Situated in the middle of the city with ample space and a large greenhouse. Serving all day breakfast, lunch, coffee's and drinks. Fully licensed and able to take large bookings.","Shop 8, 68 Bunda Street"
LUXE Tanning and Lash Studio (formally Luscious Glow),Evatt,Personal care,"Professional studio operating for over 7 years. Highly trained and regarded eyelash extension and spray tanning specialist in Canberra.
We specialise in providing sustainable eyelash extensions, both classic and Russian volume handmade techniques. Our studio is cruelty free and vegan. Bookings online at website.
",63 Ashkanasy Cres
Walksmart,Campbell,Retail,"Our mission at WalkSmart is to make it convenient, safe and affordable for people to transport in their local community. We are in the business of helping people adopt personal electric mobility technology that can make their life that little bit better.","G07, 15 Provan st"
Capital Chemist Chisholm,Chisholm,Retail,"As the winner of the Pharmacy Guild of Australia’s Pharmacy of the Year in 2020 and the Capital Chemist Pharmacy of the Year in 2018 and 2019, we strive to uphold the Capital Chemist ambition of providing outstanding pharmaceutical health service and making real contributions to our community.","Chisholm Shopping Centre, 42 Halley Street"
DISCOUNT HUT,Macquarie,Retail,"As a small local family business, we see ourselves as part of our community. We not only provide fun, useful and exciting products; but we do this while creating a place for community connection. We care and that's why we are not just a $2 shop! That's why we are the best discount store in town!",1/3 Jamison Centre
Jamala Wildlife Lodge,Weston Creek,Accommodation,"Jamala Wildlife Lodge is Canberra’s first, all-inclusive luxury accommodation experience.
Jamala boasts three 5-star, African styled accommodation hubs, specifically designed to provide guests with a unique and interactive experience with some of the zoo’s most amazing residents.",999 Lady Denman Drive
Sushi Musa Belconnen,Belconnen,Food and drinks,"Sushi Musa is modern, contemporary Japanese restaurants. We strive for the best Japanese experience for customers by providing exceptional customer service, only using the fresh fish of the season, and an extensive a-la-carte menu designed by designed by our head chef.",18 Benjamin Way
Delhi to Canberra Indian Resturant,Melba,Food and drinks,"Fine dine Indian Resturant, fully licensed with BYO options. Restaurant has a lots of options for vegetarians, gluten free and dairy free and customers with other dietary restrictions.",12 chinner crescent
Sycamore Medi Spa,Canberra,Retail,Sycamore Medi Spa has been Canberra’s leading skin and beauty clinic since 2015. We specialize in beauty therapy and cosmetic injection. We are passionate about offering a healing and relaxing atmosphere for our lovely customers to take a break away from their busy lives.,shop7/240 city walk
coolbuy,Campbell,Food and drinks,Coolbuy is your everyday asian supermarket. We deliver safely to your door so you spend less time shopping ~,"Unit G28, 6 Provan St"
Spaza Store,Fyshwick,Retail,"Spaza Store specialises in South African groceries and delicacies. We have everything from spices, sauces, confectionary, Biltong, Boerewors, Koeksisters and Melktert - all handmade by us , drinks, clothing and bead work - something for everyone!","Fyshwick Markets, 36 Mildurra Street"
Mel Hill Photography,Harrison,Retail,"Mel Hill Photography is a local photography studio specialising in weddings, families, newborn & maternity, headshots, and we even have a few photo-booths! We also offer gift vouchers, and have a beautiful range of products such as albums and wall art at the studio available for purchase.",Cnr Flemington Rd & Windjana St
Lollypotz,Fyshwick,Retail,"Lollypotz delivers beautiful fun and creative chocolate bouquets using only the best quality Ferrero Rocher, Lindt and Cadbury Chocolates, as well as fine wine and champagne with over 170 bouquets to choose or your can design your own! Phone Lollypotz to place your pre order on 0475605862",6/66 Maryborough Street
Saloon,Canberra,Personal care,"Feel like a supermodel and have a celeb experience! Whether you’re after a bouncy blow dry, some brow love or a full-blown makeover, we’ve got you covered. We’ll bring the bubbles too! We have a fully stocked bar to get the party started.",11/220 London Circuit
Mels Massage,Lyneham,Personal care,"Providing remedial, deep tissue, sports and relaxation massage treatments, our therapists tailor a massage treatment to suit your needs.",1/1 Riggall Pl
VANILLA POD PIZZA & PASTA BAR,Greenway,Food and drinks,"Vanilla Pod Pizza & Pasta Bar is a licensed venue and has authentic Australian & Italian flavours, Open 7 Days for Breakfast, lunch & Dinner,
specialised in homemade Pizza, Pasta & Desserts.",10/210 ANKETELL STREET
ProfessioNAIL Belconnen,Belconnen,Personal care,"Our wide range of services promises you an unforgettable nail care experience at our spa! Our menu includes services from acrylic nails, manicures, and pedicures to waxing, dipping powder, and eyelash extensions! Warm and friendly technicians, unmatched professionalism, and commitment to safety make our salon a welcoming place. Find out more about our services here!","Shop 113, Level 1, Westfield Belconnen, 18 Benjamin Way (near Myer level 1 and Priceline level 1)"
Little Sprout,Phillip,Retail,"Read. Play. Learn.
Little Sprout is Canberra's local toy shop for quality gifts, educational games and beautiful books. Our friendly and knowledgeable staff will help you choose the perfect toy and our online toy-store delivers Australia-wide with affordable, fast shipping.",3/47 Colbee Court
Anytime Fitness Charnwood,Charnwood,Personal care,"Anytime Fitness Charnwood is a beautiful laid out gym with state of the art equipment, private bathrooms and free parking right outside the door. Our club has an amazing vibe and the culture within is community based. We have experienced Coaches available to help you achieve your health fitness goal",26 Cartwright St
Iron chef Chinese and Malaysian Restaurant,Mawson,Food and drinks,Iron chef restaurant is a well-known Chinese and Malaysian Restaurant in ACT. Lunch specials are available both eat in and take away from 11:30-14:30 from Tuesday to Sunday.,Shop11 93 Mawson PL
Urban Bean Woden,Phillip,Food and drinks,"Urban Bean is located at the bottom of the Scarborough House in Woden. We proudly use ONA coffee beans
which are locally roasted. Our baristas are highly trained and have a passion when it comes to coffee. Our food
is prepared by a passionate chef who also makes out cakes and pastries onsite.","Scarborough House, Unit 1, Atlantic Street"
Hyde Away Cafe Waramanga,Waramanga,Food and drinks,"Family run cafe serving breakfast and lunch, light snacks and the fabulous Black Mountain coffee. Casual dining for all of the family.",5/1-7 Waramanga Place
Beijing House Chinese Restaurant,Hawker,Food and drinks,BEIJING House Chinese Restaurant provides a great variety of delicious Chinese dishes. You are welcome to come!,UNIT 1 134 HAWKER PLACE
Panda fresh mart,Dickson,Food and drinks,"Fresh vegetables and fruits
Frozen seafood and meat",Unit14/4-14 Woolley street
Canberra Irish Club,Weston,Food and drinks,"Open 7 days, come in for lunch or dinner, a drink after work, a family Sunday lunch or a night out with friends. The Irish Club is one of the friendliest places in Canberra to relax with friends. Visit the Club website at www.irishclub.com.au for more information.",6 Parkinson Street
Brindabella dance festival,Conder,Things to do,Our dance festival provides a friendly and encouraging atmosphere for participants to perform on stage,P.O. Box 6099
Horseland Canberra,Fyshwick,Retail,Stocking the world's leading equestrian and country outfitting brands.,3/14 Ipswich Street
