name,suburb,category,description,address,lng,lat,value,vouchers
Ai Buy Market,Canberra,Retail,"Ai Buy Market is a Asian Grocery Store, you can find lots of delicious snacks, drinks, fresh products and seasonings for cooking from Asian, especially from China, Japan, Korean. We also have local snacks, drinks and household prodcuts.",Tenancy 3/53 Alinga Street,149.1283462,-35.27802,5720,245
AKIKAMBARA,Greenway,Retail,"Akikambara is a family owned business that strives to provide a safe and friendly location for hobby groups to get together and play games( cards, figures, board games, DnD, and video games). With exclusive and exciting stock from Japan there is are many products to suit all people.",10/175 Anketell St,149.0678568,-35.4153694,6050,132
Alexander Fax Booksellers,Mawson,Retail,"We specialise in quality secondhand military history books, including military aviation, naval history, land warfare, military intelligence and espionage, prisoners of war, and unit histories. Also stock general fiction and non fiction categories.","Shop 10, Mawson House, Southlands Shopping Centre",149.094368,-35.3647429,90,3
Aliababa Belconnen Emu Bank,Belconnen,Food and drinks,Fast food kababa,3/102 Emu bank,149.0709222,-35.2366703,210,7
Altina Drinks,Mitchell,Food and drinks,Altina Drinks is a Canberra alcohol free beverage manufacturing business producing delicious flavour driven drinks without the hangover and sugar coma. Our products are perfect for non drinkers and great wine alternatives as gifts and drinking options.,2/44 Hoskins Street,149.1375245,-35.2165555,3250,67
Amaznails,Tuggeranong,Personal care,"nails care, waxing, eyelash extension","U2, 175 Anketell Street, Greenway",149.0678568,-35.4153694,60,3
Amici Wine Bar & Deli,,,,"59 Northbourne Ave, Canberra ACT 2601",149.1288598,-35.27847789,1280,32
Amita beauty & hair parlour,Gungahlin,Personal care,"Amita Beauty & Hair Parlour Providing All Types of Beauty Services, Eyebrow Threading, Facial, Manicure/Pedicure, Party Makeup, Hair Cuts/Highlights/Keratin Treatment Many More",373 Gundaroo Dr,149.1386664,-35.1803739,960,22
Anthos Flowers,Gungahlin,Retail,"Drew & Chris
Canberra’s Best Florist 2020
•Quality Fresh Flowers at affordable prices
🚐 Delivery to all Canberra & Queanbeyan suburbs 6 Day",46 Hibberson Street,149.1360261,-35.1863683,220,10
Anton's Hair Studio,Canberra,Personal care,,"25 Garema Pl, Canberra ACT 2601",149.1317431,-35.27793066,270,8
APEX driving school,Harrison,Things to do,"Learn to drive.
Obtain your drivers license through the ACT logbook system.",4 Sapling st,149.1520997,-35.1925966,470,10
Arnold and Co Jewellers,Canberra,Retail,"In a league of it's own, Arnold and Co Jewellers can cater to all your jewellery needs be it remodel, redesign, repair, custom creations or our beautiful selection of ready made options",Shop DF 12 Canberra Centre,149.1332051,-35.2801193,710,16
Arnold'S Ribs and Pizza,Greenway,Food and drinks,"Arnold's Ribs and Pizza Tuggeranong serving great food since 1994 please check our full menu @ arnoldsribs.com.au. Pizza ,ribs ,pasta many extras",3/146 Reed St N,149.065965,-35.4184151,240,11
Arthritis ACT,Bruce,Personal care,"Build a Better Me: Arthritis, Pain Support & ME/CFS ACT provide structured health and fitness programs for anyone in the community. You can join any of our established fitness programs including Yoga, Tai Chi, Nordic Walking, you can join us for Art Therapy, or we can build a program for you.",170 HAYDON DVE BRUCE,149.0920596,-35.2371501,320,9
artKids Canberra,Turner,Things to do,artKids offers school holiday and after-school art and drawing programs for primary school children and teens. Our classes focus on building creative confidence through teaching art and drawing skills and techniques. We explore different art mediums and artists in our varied programs.,"Basement, 17 Condamine Street",149.1272955,-35.2662892,6810,140
Asian Arts MAnuka,Griffith,Retail,"Oriental furniture, Japanese dinner ware, porcelain miniatures, home wares and gift items","Shop 5-6 Manuka Village, 18-26 Furneaux Street",149.1322666,-35.3196423,170,4
Asian Noodle House Belconnen,Belconnen,Food and drinks,"Asian Noodle House Belconnen
Take away - Dine in",62/1 beissel street,149.0654939,-35.2356356,1580,52
Asian Noodle House Woden,Phillip,Food and drinks,Asian Curisine,6 Launceston Street,149.0843098,-35.3404121,1620,65
Asian Provisions,Phillip,Food and drinks,"The oldest Asian grocery in Canberra since 1977!
Specialises in Indonesian, Malaysian, Singaporean & southeast Asian food products.",54 Colbee Court,149.0874498,-35.3528169,5250,183
Asian Supa,Belconnen,Retail,"Asian Supa is an 8-years-old Asian grocery shop. We provide variety of Asian goods and willing to discover any Asian goods that improve local community diversity.

Amenities:
Planty of parking spots
Provided trolleys
Comfortable and wide aisles
Convenient payment system and payment methods
","69 Oatley Ct, Belconnen ACT",149.0599495,-35.2421334,20390,592
Asian Tea House,Gungahlin,Food and drinks,"Founded in Kaoshiung, Taiwan (China SAR) in 2006, Gong cha is the fastest growing tea brand in Asia with over 1500 stores in over 20 regions worldwide, as well as being the first tea franchise to operate on a world-class luxury cruise liner, the Majestic Princess.",shop 14A/46 hibberson st,149.1351634,-35.18597739,1430,67
ATNL Nails Spa and Beauty,Canberra,Personal care,"At ATNL Nails Spa Beauty salon we provide services at affordable prices. We are providing nail care services, manicures, pedicures, spa treatments, SNS, acrylic, gel nails etc",SHOP FG11 - 148 BUNDA STREET CANBERRA CITY CANBERRA ACT 2601,149.1332559,-35.2802271,500,15
AULAC VEGAN CUISINE,Phillip,Food and drinks,"Authentic Vietnamese Cuisine - Vegan Catering Specialist.
At Au Lac we pride ourselves on our delicious and innovative dishes that are freshly made with very nutritious ingredients which are extremely good for you & your family’s health.
",U G904 KELTIE STREET,149.0860576,-35.3463199,2160,75
Aussie Windscreens,Phillip,Retail,Aussie windscreens is Canberra's Number one choice for all automotive glazing solutions. Specializing in Stone chip repairs and ADAS Re-calibraions,22 Grenville Court,149.0868683,-35.3520721,470,10
AUSTRALIAN CAPITAL HEALTH CENTRE OF TRADITIONAL CHINESE MEDICINE (TCM),Woden,Personal care,"TCM on treating illnesses' symptoms and body recovery, as it restores balance to fundamental body functions as well as repairs the body after the ailment has been alleviated. Chinese Medicine puts emphasis on the prevention of medical conditions through constant care of the body as well.
Vouchers for all locations
- Woden
-Belconnen
-Civic",PO Box 334,149.0838386,-35.34498167,1700,39
Australian Choice,Canberra,Retail,"Australian Choice is a family owned business established in 1989. We sell only Australian made quality gifts and souvenirs from our retail store in the Canberra Centre. Currently we stock a range of more than 4,000 products sourced from artists, designers and manufacturers from all over Australia.",Shop AG12 Ground Floor Canberra Centre 148 Bunda St,149.1332559,-35.2802271,1390,38
Australian Essences - Women's Natural Health Clinic,Kambah,Personal care,"Women's Natural Health Clinic

I nurture your body, mind and soul with a range of gentle, effective treatments, giving you the care and attention that you deserve and need.

My private clinic setting provides a tranquil, peaceful environment where you can truly relax and feel at ease.",13 Lawrence Crescent,149.0666463,-35.3825841,310,8
Awesome Noodle Asian Cuisine,Kaleen,Food and drinks,"Treat yourself to a delicious Asian meal at the Awesome Noodle Asian Cuisine. We serve a variety of authentic dishes, including our Deep Fried Duck, Vegetarian Chow Kway Teow and Stir Fried with Ginger and shallot. Our chefs also prepare chicken, prawn, laksa, rice and Chow Mein dishes. See you soon",4/6 Gwydir Square,149.1028304,-35.2340491,570,18
Axis Hairdressing,Braddon,Personal care,Axis Hairdressing is one of Canberra's most well known salons. Established in 1991 Axis has been tending to the hair needs of Canberrans for almost 3 decades.,131/24 Lonsdale Street,149.1332414,-35.2726992,310,7
Axxe,Fyshwick,Things to do,"Axxe Canberra has signed up to be part of the ChooseCBR initiative. This means you can get a discount off our services if you have registered at choosecbr.act.gov.au

The steps for using the ChooseCBR voucher code with Axxe is as follows:
1. Book a session or buy a gift voucher through our website.
2. Pay the full value of the booking deposit/gift voucher.
3. Contact us on Facebook or email us at info@axxe.com.au and provide us with your Choose CBR voucher code.
4. Axxe will refund you the value of the Choose CBR voucher.

On the day of your booking, we can process the rest of the payments using the Choose CBR vouchers discount if any of the other players have them.
We can also sell vouchers in-store with the Choose CBR discount applied at the time of sale.

About Axxe:
Canberra's first and only Urban Axe Throwing facility.

Urban Axe Throwing is a fun activity where you will get the unique experience of throwing solid steel axes at wooden targets.

Bookings are essential. Visit axxe.com.au for more information.",4/1 Lyell Street,149.1729423,-35.3287887,1240,29
Azure Dragon/Urban By Asian Tiger (ANU),Acton,Food and drinks,"Situated inside ANU, Azure Dragon menu focuses on fresh local ingredients and food that’s handmade in-store daily, to eat in or take away. Azure Dragon’s large indoor dining area boasts a modern twist on a 1920s Shanghai-style decor.

- Contactless table ordering available.
- Underground parking available at the end of Kingsley St, Acton.
- Vouchers also redeemable at Urban By Asian Tiger.",155 B1 Joplin Lane,149.1201127,-35.2774868,1540,86
B & B Emporium,Casey,Retail,"Canberra home of Giftware, Homeware & Kitchenware. Located in Kaleen Plaza & Casey Market Town",Unit 16 / 15 Kingsland Pde,149.0953865,-35.1743655,910,37
B L I S S II M O,Braddon,Retail,An exquisite little store offering Bohemian lux from the past & present.,56/30 Lonsdale Street,149.1332839,-35.2719323,830,20
B One Restaurant,Canberra,Food and drinks,"A restaurant for the people of Canberra, serving up Asian fusion food, great drinks in a vibrant venue. Open 7 days a week! ???",16 West Row,149.1278937,-35.2791538,1730,56
Baby Su,Canberra,Food and drinks,"Meet the playful and fast-paced sibling to Lazy-Su.
Good things come in small packages.
Bowls, Bao, Burgers, Dumplings, Fried Chicken & More","G25, 40 Marcus Clarke Street",149.1269143,-35.2784724,1840,115
BACKBONE BMX PTY. LTD.,Belconnen,Retail,"Back Bone BMX is an independent, rider owned and run Canberra BMX shop that has been providing the best BMX bikes, parts, clothing and accessories available - since 2005!","Shop 2a, 68 Emu Bank",149.0714301,-35.2383181,680,16
Bags To Go,Fyshwick,Retail,"Bags to Go has been offering top quality luggage, handbags and accessories since 2005. We stock a wide range of well-known international brands such as Samsonite, Antler, Tosca, American Tourister, PacSafe and so many more!",76 Gladstone St,149.1789851,-35.3223167,450,11
Balloon Aloft Canberra,Pialligo,Things to do,"Book with Balloon Aloft for a magical hot air balloon flight over Canberra. We offer a unique view of the city, lake and surrounding landscape. Flights are approximately 45-60 minutes and finish with a champagne celebration. Your memories will last a lifetime.",19 Kallaroo Road,149.1835273,-35.3148252,100,2
Bambusa asian cuisine,Griffith,Food and drinks,We specialise in in house made dumplings and Chinese cuisine. Many vegetarian and gluten free options,36 Franklin Street,149.1325592,-35.3199542,2290,60
bamiyan,Braddon,Food and drinks,AFGHAN RESTAURANT,62/10 lonsdale st,149.1328891,-35.2746759,2480,63
Barbell Foods,Hume,Food and drinks,"Healthy meat snacks and smallgoods, made with regenerative and ethically farmed meat.",24 Tralee St,149.1597064,-35.3943238,50,1
Barbeque nation,Wanniassa,Food and drinks,Indian restaurant where you will get best Indian dishes and great customer service.,5/33 Gartside street,149.1004681,-35.4052739,1550,39
BARTON GROCER,Barton,Retail,"Barton Grocer provides not only groceries, we also have an in store café with fresh hot cinnamon donuts, florists who use many local producers to provide beautiful flower arrangements for all occasions and events and we provide catering tailored to businesses. We also provide fresh food to go!",SHOP 1/48 MACQUARIE STR,149.135661,-35.3060579,120,7
Bashan,Canberra,Food and drinks,Chinese Restaurant,"G09, 39 London Circuit",149.1268246,-35.2793791,1050,61
BD Dine,Harrison,Food and drinks,Authentic Bangladesh and Sub-continent Cuisine. We prepare our food from scratch and serve freshly cooked food.,82/170 Flemington Road,149.1498545,-35.2006031,2180,57
BDL Car Stereo Pty Ltd,Fyshwick,Retail,"Retail & installation of after market car audio, AV, alarms, light bars, dash cams, screens, GPS tracking, reverse cameras, dual car battery set up, wiring, car antennas.","Unit 12 Paragon Mall, Glasdstone St",149.1728799,-35.3238492,200,4
Bearded Bean,Canberra,Food and drinks,Funky cafe in the city specialising in quality coffee and great food. Coffee is our passion and we strive to make every cup to perfection and tasting the way full flavoured barista made coffee should. Come and meet our really friendly team!,"Shop 3 21 Genge Street,",149.1320034,-35.2770273,90,7
Beautique Smiles,Dunlop,Personal care,Achieve your best & brightest smile with Beautique Smiles -Teeth Whitening & Beauty by Natalie. Experience Beautique Smiles personable approach to delivering quality beauty & cosmetic teeth whitening services. Delivered in a relaxing & comfortable suburban location on the Northside of Canberra.,15 Branson st,149.0291722,-35.1890218,50,1
BEAUTY CENTRAL,Gungahlin,Personal care,"Beauty Central is a specialist beauty and nail salon based in Gungahlin, Canberra. We offer manicures, spa pedicures, SNS nails, gel and acrylic nails, shellac and gel polishes, eyelash extensions, waxing and brows grooming. We service clients from Bonner, Forde, Thorsby, Harrison, Plamerston.",shop 57H Gungahlin Marketplace,149.1347762,-35.1846599,3360,86
Beautying,Canberra,Personal care,"Beautying Clinic offers high quality Nails, eyelashes extensions and facials. Appointments only.",39 London Cct,149.1268246,-35.2793791,910,25
Beef & Barley,Kingston,Food and drinks,"Located on the Kingston Foreshore, Beef & Barley is famous for its Burger high teas - a decadent three tiered feast. On weekends, it also offers brunch high tea. Burgers, share plates, local beer and wine, and espresso coffee is also on offer. Dietary requirements catered for. Kid and pet friendly!",157/45 Eastlake Pde,149.1471622,-35.3139653,350,11
Beess and Co Cafe,Yarralumla,Food and drinks,"A local cafe in Yarralumla shops. Serving breakfast and lunch with large variety of vegetarian and Gluten-free ingredients. Open everyday including public holiday. Italian head chef, multi cultural team member, big outdoor sitting, warm and cozy atmosphere, free WiFi, 3 hours free car park.","Shop 5, 29 Bentham Street",149.097446,-35.3073569,470,15
Beijing House Chinese Restaurant,Hawker,Food and drinks,BEIJING House Chinese Restaurant provides a great variety of delicious Chinese dishes. You are welcome to come!,UNIT 1 134 HAWKER PLACE,149.0430583,-35.2429517,2540,70
Belco Halal Kebabs and Pizzeria,Belconnen,Food and drinks,Turkish Kebab Shop,Lathlain Street,149.0638879,-35.2409031,1170,49
Belconnen Chicken,Belconnen,Food and drinks,The most popular fresh chicken shop in Canberra.,"Shop 216, Benjamin Way, Belconnen ACT 2616",149.0673342,-35.2381662,2460,130
Belconnen Ski N Board,Belconnen,Retail,,25-35 Lathlain St,149.0640378,-35.24168976,1120,28
Bellchambers Music School,Phillip,Things to do,Bellchambers Music School is Canberra’s oldest music school. We pride ourselves on teaching high quality music lessons to students starting from age 1 all the way to adults. We teach with passion and joy six days a week at our studio in Phillip. Call us to start a wonderful journey with music.,Unit 3 61-63 Colbee Court,149.0886967,-35.3525249,11100,225
Bellelis Australia Pty Ltd,Kambah,Retail,"BELLELIS ECO FAMILY - the first modern cloth nappy store in Canberra.
We are helping parents on their eco-friendly journey with bub and beyond.
Find the perfect and unique present for a new mum or mum-to-be.
Over 50 brands in one place - cloth nappies, accessories, handmade products and gifts.","Shop 5b, 3 Carleton Street",149.0501496,-35.3831876,5600,139
Belluci's Manuka,Manuka,Food and drinks,"Little Italy in Manuka with good food, good wine and good friends",Cnr Franklin and Furneaux Street,149.1324215,-35.3196219,2190,53
Belluci's Woden,Phillip,Food and drinks,Italian restaurant in canberra,4 Irving Street,149.0843111,-35.3401898,1440,40
Bentham St Bar& Pizza,Yarralumla,Food and drinks,Bentham Street Bar and Pizza is a licenced restaurant offering gourmet pizza and authentic tapas. We offer a high standard of service for dining in or takeaway. Open 6 nights a week. Bookings are recommended as we have a limited capacity and Covid19 restrictions are strictly adhered to.,2/29 Bentham Street,149.097446,-35.3073569,380,14
BESTORE,Mitchell,Retail,"Bestore, Best Asian Shopping | Best&Biggest Shop in Canberra
Everything for Korean/Japanese recipes. From Quality Wagyu to Dumpling&Noodles.",109 Flemington Road,149.14453,-35.2204521,35900,877
Bewitched Flowers and Gifts,Kambah,Retail,"Florist, Clothing, Jewellery and Giftware Shop",Shop 4/3 Carleton Street,149.0501496,-35.3831876,570,17
Beyond Pharmacy,Braddon,Retail,"Pharmacy in Braddon - Gifts, skincare range, vitamins, etc.",4/18 Lonsdale St,149.132945,-35.2736557,1180,35
BiangBiang noodles CBD,City,Food and drinks,"Chinese Noodle restaurant with fresh hand-made BiangBiang noodles.
Chewy noodles topped with pork, beef and a considerable amount of chilli.
",148 bunda,149.1332559,-35.2802271,1420,76
Bidgee Golf Shop,Kambah,Retail,On Course Golf Shop and Driving range,161 Kambah Pool Rd,149.038432,-35.3855214,8900,198
BirdieBall Australia,Dickson,Retail,"BirdieBall is the PGA award-winning limited flight golf ball.

Safely enjoy golf in the park, on the oval, even in your backyard.

BirdieBall only flies around 40 metres but feels and flies just like a regular golf ball.",PO Box 1325,149.139722,-35.2525,50,1
BLACKFIRE RESTAURANT,Braddon,Food and drinks,"Black Fire, ""Fuego Nero"" is a fiercely individualistic Mediterranean cuisine restaurant.

We prepare delicious imaginative dishes with an exciting wondrous presentation to bring to your table our food, our taste, our culture, our love for cooking.
",U 45 38 Mort St,149.1317587,-35.273016,1290,27
Bleachers Sports Bar,Canberra,Food and drinks,"Bleachers is serving up burgers, beers and big screens, live and loud from lunch till late 7 days a week.
Great for groups with indoor and outdoor seating available. Families welcome.


",33 Northbourne Avenue,149.1286841,-35.2791128,480,16
Bliss Garden & Giftware,Pialligo,Retail,,"Shop 3/8 Beltana Rd, Pialligo ACT 2609",149.1792195,-35.30464867,1340,30
Blossoms Of Canberra,Wanniassa,Retail,"Friendly Local Florists, come in and visit us in Erindale shops.
Not just flowers, we also have a range of gifts, soft toys & helium balloons. We deliver to the ACT region Monday to Saturday.",50 Comrie St,149.0982882,-35.4041625,100,6
BLU GINGER INDIAN RESTAURANT,Canberra,Food and drinks,"Blu Ginger is located in heart of CANBERRA CITY , Blu Ginger has opened the door in year 2000 , very popular among all the foodies,with high quality food and exceptional service. All meals are made fresh to order by our qualified team of chefs with high quality local and imported ingredients.
",2/5-21 GENEGE ST,149.13197,-35.27704,3110,84
Blue Ink Group,Fyshwick,Retail,"Blue Ink Group is your 'Total Workplace Solution'. We are a very proud Canberra business covering everything from Office Supplies, School Supplies, Promotional Products, Office Furniture, Managed Print and Toners & Ink just to name a few.

We are your local Canberra office supplier.","176, Gladstone, Street",149.1847952,-35.3285859,50,1
Books R Us & More,Greenway,Retail,"Books and Games, Largest range of Jigsaw Puzzles in Canberra,",Shop G31 Anketel,149.0665317,-35.4167822,1090,40
Boost Juice Marketplace Gungahlin,Gungahlin,Food and drinks,"We’re not just here to give customers great tasting smoothies and juices. We want to share our energy, passion and ‘love life’ philosophy, and make sure every customer leaves feeling just that little bit better.","H61 The Marketplace Gungahlin, 30-33 Hibberson street",149.1347762,-35.1846599,210,11
Boost juice Tuggeranong/ Woden/ Fyshwick,Tuggeranong,Food and drinks,"Boost Juice has many variety of fresh Juices and smoothies

Vouchers can be redeemed at Tuggeranong, Woden and Fyshwick",K0015 Southpoint shopping centre,149.0665317,-35.4167822,210,16
Botanical Bookshop,Acton,Retail,"Located at the Australian National Botanic Gardens, The Botanical Bookshop has a wide selection of flora and fauna books, beautiful gifts and much much more!",Visitor Centre ANBG Clunies Ross St,149.108918,-35.278878,1180,28
Braddon Licensed Post Office & Newsagency,Braddon,Retail,"newspaper, greeting cards, gifting, books and postal product for the locals",2/18 Lonsdale street,149.1330153,-35.2736019,700,14
Braddon Supermarket,Braddon,Retail,"We are a bottle shop and convenience store.
We Locate in between City centre and Dickson.
We sell Liquor, Grocery,and Tobacco.
We have variety of Wines, beers, RTDs and Sprits. Also We have all groceries including Dairy products, Confectionarys, Soft drinks, Ice creams etc.",94 Lowanna St.,149.1328023,-35.2640213,40,2
brazilian butterfly,Canberra,Personal care,"Your total body care experts.
From specialty waxing, IPL hair removal, brow lamination, lash lifting and beauty services.",21 garema place,149.1316597,-35.2781319,40,2
bread and butter cafe,Pialligo,Food and drinks,DELICIOUS COFFEE AND FOOD AROUND CANBERRA AIRPORT,8 brindabella cct,149.1898778,-35.3130666,4070,176
BrewYourOwnAtHome,Kambah,Retail,"Canberra's finest supplier of home brewing ingredients and equipment from the novice to the experienced brewer. If you are interested in making your own beer, ginger beer, mead or want to grab a Brewery fresh wort kit to ferment, come and grab a starter kit and ingredients to get you on your way.
",Shop 5 of 66 Primmer Court,149.0578813,-35.3806661,670,14
Brightco Pty Ltd,Canberra,Food and drinks,Subway,Subway F307/337 Canberra AVE,149.1787336,-35.3369663,100,4
Brodburger,Kingston,Food and drinks,Using local beef to make Canberra’s favourite burger.,11 Wentworth Avenue Kingston,149.143675,-35.3115562,1660,90
Bruce Takeaway,Bruce,Food and drinks,Local Takeaway / Dine in offering Western and Asian Cuisine,123/10 Thynne Street,149.092121,-35.241275,300,20
Bunny beans Cafe,Holt,Food and drinks,Cozy corner cafe serving modern brunch menu and locally roasted black mountain coffee beans.,64 Hardwick Crescent,149.0192077,-35.2207692,510,23
Burger Hero Mitchell Takeaway,Mitchell,Food and drinks,"Hot food, Burger, Chips, Coffee, Pizza, Sandwiches, Smoothies and soft drinks.",8/54 Heffernan st,149.1403765,-35.2180737,120,9
Buvelot Picture Framers,Phillip,Retail,"Custom picture framing, huge range of ready0made frames, canvas stretching, custom cut mats and framing supplies.",45 Colbee Court,149.0894308,-35.3523238,1570,34
CAFE @ BELCO,Belconnen,Food and drinks,"Trishuli Pty Ltd t/a Cafe @ Belco, Where the day begins!!",2/21 Benjamin Way,149.0677795,-35.2369185,10,1
Cafe alibi,Canberra,Food and drinks,"At Cafe Alibi we pride ourselves in providing you that special touch with table service for our customers.
Our coffee is second to none and our food is restaurant quality at cafe prices.
Whether you're dining in or need a quick meal on the go, you'll be impressed with our offerings to you.",5 Farrell Place,149.1244922,-35.281129,170,10
Cafe au Lait,Weston,Food and drinks,Cafe serving Ona Coffee and a variety of food and cakes at reasonable prices. We are located on Level 1 (in front of Aldi) Cooleman Court.,Shop 57 26 BRIERLY ST,149.0524619,-35.3412371,430,23
Cafe Brindabella,Barton,Food and drinks,"Cafe located in RG Casey building, home to the DFAT. Providing great coffee, fresh pastry & sweets, hot meals, sandwiches & salads. All food made on premises fresh every morning. Menu changing daily","RG Casey Building, Sydney Avenue",149.130368,-35.3099228,60,6
Cafe cherry beans Belconnen,Belconnen,Food and drinks,"Caffe Cherry Bean’s unique roast, roasted locally Sydney, encompasses a wide range of flavour profiles in our blends, varying from season to season to find the best flavour combination.",18 Benjaminway,149.065187,-35.2378367,10,1
Cafe Childers,Acton,Food and drinks,Cafe & Asian style,"Shop 4, 35 Childers Street",149.1254639,-35.2768906,210,7
